iter	RMSE
0	4.811897055
1	4.598029462
2	4.386229658
3	4.190543911
4	4.012528846
5	3.83096935
6	3.662065372
7	3.502812535
8	3.350487882
9	3.205740037
10	3.077590779
11	2.949228042
12	2.826931287
13	2.717431644
14	2.608481616
15	2.510379286
16	2.41384637
17	2.324459944
18	2.236890819
19	2.158311441
20	2.079734498
21	2.00351431
22	1.936542493
23	1.876662395
24	1.817462144
25	1.768455417
26	1.713089377
27	1.663617779
28	1.621312465
29	1.575840689
30	1.532793014
31	1.49516377
32	1.459064113
33	1.425017564
34	1.393141913
35	1.362773405
36	1.33267485
37	1.305129598
38	1.286428496
39	1.269229552
40	1.249377088
41	1.233724296
42	1.214255893
43	1.194287798
44	1.176217696
45	1.16096573
46	1.146321076
47	1.132348503
48	1.118923345
49	1.105538727
50	1.093621197
51	1.082711276
52	1.074001919
53	1.064788347
54	1.059307596
55	1.052415743
56	1.043533934
57	1.036340854
58	1.028471932
59	1.021534674
60	1.015348818
61	1.010217952
62	1.005838344
63	0.9999593546
64	0.9954311487
65	0.9917296235
66	0.9873316793
67	0.9841946582
68	0.9802256091
69	0.9758077914
70	0.971064824
71	0.9680209228
72	0.9654395885
73	0.9621847376
74	0.959294842
75	0.9566223941
76	0.9543033237
77	0.9513765471
78	0.9497700219
79	0.9472334511
80	0.946221897
81	0.9429754433
82	0.9405459186
83	0.9372130697
84	0.9351633687
85	0.9334429586
86	0.931711871
87	0.9301902765
88	0.9286094828
89	0.9266741097
90	0.925028215
91	0.9237142136
92	0.9190180671
93	0.9174920252
94	0.9132036581
95	0.9110399293
96	0.9097678194
97	0.9083380453
98	0.9072488953
99	0.9060448618
100	0.9049444898
101	0.9031916881
102	0.9022370111
103	0.9009637783
104	0.8994447365
105	0.8980249152
106	0.8964735139
107	0.8954794718
108	0.89133138
109	0.8885125887
110	0.8875875622
111	0.8864551297
112	0.8852101788
113	0.8836430963
114	0.8814680517
115	0.8808214205
116	0.878298987
117	0.8765313567
118	0.8754548004
119	0.8727613167
120	0.8705239988
121	0.8690866721
122	0.8683041521
123	0.8671722928
124	0.8663745224
125	0.8622245354
126	0.8616454217
127	0.8609117243
128	0.8570702919
129	0.8560858195
130	0.8554241835
131	0.8549926411
132	0.8540076397
133	0.8526694059
134	0.8519898585
135	0.8509043056
136	0.8490493112
137	0.8467513654
138	0.8461903064
139	0.8457504651
140	0.8450414576
141	0.8437372872
142	0.8431082474
143	0.8413413107
144	0.8409184102
145	0.8386954048
146	0.8372080565
147	0.8353962211
148	0.8343103642
149	0.8308348382
150	0.8291459389
151	0.8271285641
152	0.8265830647
153	0.825439542
154	0.8241949547
155	0.8231643154
156	0.8198628259
157	0.8189927072
158	0.8184998689
159	0.8163818387
160	0.8155521194
161	0.8124192678
162	0.8104572067
163	0.8097526543
164	0.8068162855
165	0.8039646728
166	0.801198181
167	0.8004539156
168	0.8000609041
169	0.7983435096
170	0.7978144993
171	0.7973685061
172	0.7969090065
173	0.796621388
174	0.793807598
175	0.7930629139
176	0.7906764386
177	0.7882499459
178	0.785965019
179	0.7852556447
180	0.783135985
181	0.7827570255
182	0.7822940115
183	0.7819716982
184	0.7808997291
185	0.780278312
186	0.7798928013
187	0.7782019821
188	0.7769521478
189	0.7762060647
190	0.775155689
191	0.7731644162
192	0.7727192667
193	0.7722949173
194	0.7718679204
195	0.7699744565
196	0.7693855463
197	0.7690635283
198	0.7686332205
199	0.7682127283
200	0.7664621465
201	0.7661231947
202	0.7655611002
203	0.7635647247
204	0.7620767768
205	0.7617257323
206	0.7605594327
207	0.7590493038
208	0.7585621992
209	0.7581932026
210	0.7566711778
211	0.7559784127
212	0.7543182871
213	0.7537725698
214	0.7530198783
215	0.7510935649
216	0.7495826739
217	0.7481701798
218	0.746844513
219	0.7455214647
220	0.7437109771
221	0.7433928952
222	0.7426836818
223	0.7422711024
224	0.740852123
225	0.740592722
226	0.7391185542
227	0.7376512828
228	0.736317429
229	0.7351834151
230	0.7331481103
231	0.7328965103
232	0.7315662377
233	0.7307053598
234	0.7304528599
235	0.7301707339
236	0.7297860479
237	0.728513684
