iter	Passed	Remaining
0	8	4153
1	15	3924
2	25	4174
3	31	3889
4	39	3871
5	58	4790
6	64	4566
7	72	4432
8	78	4291
9	86	4226
10	92	4112
11	98	4010
12	104	3902
13	111	3870
14	120	3904
15	127	3844
16	132	3772
17	141	3780
18	148	3756
19	156	3753
20	163	3728
21	171	3716
22	177	3685
23	184	3666
24	191	3632
25	197	3600
26	205	3596
27	212	3584
28	219	3568
29	225	3537
30	233	3535
31	240	3523
32	248	3517
33	254	3491
34	261	3467
35	269	3470
36	275	3451
37	282	3439
38	297	3519
39	304	3504
40	310	3477
41	320	3498
42	327	3482
43	336	3487
44	343	3469
45	349	3453
46	356	3431
47	365	3444
48	372	3424
49	378	3410
50	386	3399
51	396	3414
52	402	3395
53	409	3379
54	417	3376
55	423	3358
56	430	3344
57	436	3325
58	445	3327
59	451	3309
60	458	3297
61	464	3278
62	470	3267
63	477	3254
64	484	3239
65	491	3228
66	496	3211
67	504	3204
68	513	3205
69	519	3194
70	541	3271
71	547	3254
72	554	3243
73	560	3228
74	570	3230
75	575	3213
76	581	3196
77	589	3187
78	597	3182
79	604	3175
80	611	3161
81	617	3146
82	626	3150
83	634	3140
84	640	3126
85	646	3110
86	654	3106
87	661	3095
88	668	3087
89	674	3072
90	680	3057
91	689	3055
92	695	3044
93	703	3037
94	709	3023
95	718	3022
96	724	3011
97	730	2997
98	738	2993
99	744	2978
100	753	2975
101	759	2963
102	766	2953
103	789	3006
104	799	3006
105	805	2995
106	816	2997
107	823	2989
108	832	2984
109	840	2979
110	849	2977
111	856	2965
112	865	2962
113	871	2951
114	879	2943
115	885	2931
116	895	2931
117	902	2922
118	910	2914
119	916	2902
120	926	2902
121	936	2902
122	945	2897
123	953	2890
124	960	2881
125	967	2871
126	977	2870
127	986	2866
128	995	2862
129	1001	2850
130	1009	2843
131	1023	2853
132	1031	2847
133	1038	2836
134	1045	2826
135	1052	2815
136	1058	2805
137	1064	2792
138	1071	2782
139	1078	2773
140	1085	2764
141	1092	2754
142	1098	2743
143	1107	2737
144	1113	2726
145	1121	2718
146	1127	2706
147	1133	2694
148	1143	2693
149	1149	2682
150	1156	2672
151	1162	2660
152	1170	2653
153	1176	2642
154	1183	2634
155	1191	2627
156	1197	2616
157	1206	2611
158	1212	2601
159	1220	2592
160	1225	2580
161	1233	2572
162	1240	2564
163	1247	2556
164	1254	2546
165	1275	2566
166	1284	2561
167	1290	2550
168	1298	2542
169	1304	2531
170	1311	2523
171	1318	2514
172	1325	2505
173	1334	2499
174	1341	2491
175	1348	2482
176	1354	2471
177	1361	2463
178	1368	2453
179	1374	2444
180	1381	2434
181	1387	2424
182	1394	2414
183	1401	2406
184	1408	2398
185	1415	2389
186	1421	2378
187	1429	2372
188	1436	2363
189	1443	2355
190	1450	2346
191	1458	2339
192	1465	2330
193	1472	2321
194	1478	2313
195	1484	2302
196	1492	2296
197	1507	2299
198	1513	2289
199	1519	2278
200	1528	2273
201	1534	2263
202	1538	2251
203	1547	2244
204	1555	2237
205	1561	2228
206	1567	2218
207	1576	2212
208	1582	2203
209	1591	2197
210	1597	2188
211	1605	2180
212	1611	2170
213	1619	2164
214	1625	2155
215	1632	2146
216	1640	2139
217	1646	2130
218	1654	2123
219	1661	2114
220	1669	2107
221	1676	2098
222	1682	2090
223	1689	2081
224	1695	2072
225	1703	2065
226	1709	2056
227	1717	2048
228	1723	2039
229	1730	2031
230	1738	2024
231	1757	2030
232	1765	2023
233	1772	2014
234	1778	2005
235	1785	1997
236	1792	1988
237	1799	1980
238	1805	1971
239	1811	1962
240	1819	1955
241	1826	1947
242	1834	1939
243	1840	1930
244	1848	1924
245	1854	1915
246	1862	1907
247	1868	1898
248	1874	1889
249	1882	1882
250	1888	1873
251	1895	1865
252	1901	1856
253	1908	1848
254	1915	1840
255	1922	1832
256	1928	1823
257	1934	1814
258	1943	1808
259	1950	1800
260	1957	1792
261	1965	1785
262	1974	1778
263	1980	1770
264	1991	1766
265	1998	1757
266	2005	1749
267	2011	1741
268	2018	1733
269	2024	1724
270	2031	1717
271	2042	1712
272	2049	1704
273	2055	1695
274	2061	1687
275	2069	1679
276	2076	1671
277	2084	1664
278	2090	1655
279	2099	1649
280	2105	1640
281	2112	1633
282	2118	1624
283	2124	1616
284	2132	1608
285	2139	1600
286	2146	1592
287	2153	1585
288	2159	1576
289	2167	1569
290	2174	1561
291	2181	1553
292	2187	1545
293	2194	1537
294	2200	1529
295	2207	1521
296	2214	1513
297	2232	1513
